IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
NA12005	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12006	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12043	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12044	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12045	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12046	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12056	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12057	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12058	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12144	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12145	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12146	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12154	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12155	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12156	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12234	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12236	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12239	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12248	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12249	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12264	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12272	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12273	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12274	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12275	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12282	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12283	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12286	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12287	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12340	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12341	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12342	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12343	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12347	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12348	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12383	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12399	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12400	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12413	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12414	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12489	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12546	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12716	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12717	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12718	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12748	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12749	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12750	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12751	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12760	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12761	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12762	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12763	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12775	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12776	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12777	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12778	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12812	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12814	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12815	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12827	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12828	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
